Sl.No,Project Name,Task,Start Date,End Date,Task Duration
"01","QUATTRO DEL MAR MEP CAD PROJECT","   Block 2 - Podium 2 Coordination Drawing","17/10/2025","17/10/2025","00:10:29"
"02","QUATTRO DEL MAR MEP CAD PROJECT","   Block 2 - Podium 1 Coordination Drawing","17/10/2025","17/10/2025","00:10:27"
"03","QUATTRO DEL MAR MEP CAD PROJECT","   Block 2 - Ground Floor Coordination Drawing","17/10/2025","17/10/2025","00:11:00"
"04","QUATTRO DEL MAR MEP CAD PROJECT","   Block 1 - Podium 2 Coordination Drawing","17/10/2025","17/10/2025","00:11:26"
"05","QUATTRO DEL MAR MEP CAD PROJECT","   Block 1 - Podium 1 Coordination Drawing","17/10/2025","17/10/2025","00:11:40"
"06","QUATTRO DEL MAR MEP CAD PROJECT","Block 1 - Ground Floor Coordination Drawing","17/10/2025","17/10/2025","00:11:52"
"07","Others"," TEST 2","-","-","hh:mm:ss"
"08","Others"," TEST 2","-","-","hh:mm:ss"
"09","Others"," TEST 2","-","-","hh:mm:ss"
"10","AECOM-AL AMRAH"," UPGRADE MODELS TO BE PREPARED FOR THE CLIENTS COMMENTS","15/10/2025","15/10/2025","hh:mm:ss"
"11","AECOM-AL AMRAH"," UPGRADE MODELS TO BE PREPARED FOR THE CLIENTS COMMENTS","13/10/2025","15/10/2025","42:27:45"
"12","AECOM-AL AMRAH"," REMOVE ALL XREF FILES AND CLEAN THE PUBLISHED FILES","15/10/2025","15/10/2025","hh:mm:ss"
"13","AECOM-AL AMRAH"," REMOVE ALL XREF FILES AND CLEAN THE PUBLISHED FILES","15/10/2025","15/10/2025","00:06:35"
"14","AECOM-AL AMRAH"," UPDATE COORDINATED FILES IN ACC","15/10/2025","15/10/2025","hh:mm:ss"
"15","AECOM-AL AMRAH"," UPDATE COORDINATED FILES IN ACC","15/10/2025","15/10/2025","00:11:09"
"16","AECOM-AL AMRAH"," ADD LUMINAIRE TO  STREET LIGHTING 3D MODEL","15/10/2025","15/10/2025","hh:mm:ss"
"17","AECOM-AL AMRAH"," ADD LUMINAIRE TO  STREET LIGHTING 3D MODEL","15/10/2025","15/10/2025","00:11:24"
"18","AECOM-AL AMRAH"," COORDINATION ALIGNING THE ANCILLARY MODELS","15/10/2025","15/10/2025","hh:mm:ss"
"19","AECOM-AL AMRAH"," COORDINATION ALIGNING THE ANCILLARY MODELS","15/10/2025","15/10/2025","00:11:07"
"20","AECOM-AL AMRAH"," CREATE DATA SHORTCUT REFERENCE OF MODELS","15/10/2025","15/10/2025","hh:mm:ss"
"21","AECOM-AL AMRAH"," CREATE DATA SHORTCUT REFERENCE OF MODELS","13/10/2025","13/10/2025","00:15:32"
"22","AECOM-AL AMRAH","COORDINATION IRRIGATION AND LIGHTING NETWORK","15/10/2025","13/10/2025","hh:mm:ss"
"23","AECOM-AL AMRAH","COORDINATION IRRIGATION AND LIGHTING NETWORK","15/10/2025","15/10/2025","00:11:02"
"24","AL GURG","Drainage Modeling","13/10/2025","13/10/2025","hh:mm:ss"
"25","AL GURG","Drainage Modeling","-","-","hh:mm:ss"
"26","AL GURG","Drainage Modeling","15/10/2025","15/10/2025","00:00:53"
"27","AL GURG","Drainage Modeling","-","-","hh:mm:ss"
"28","QUATTRO DEL MAR MEP CAD PROJECT","submission","26/07/2025","26/07/2025","00:00:08"
"29","QUATTRO DEL MAR MEP CAD PROJECT","submission","26/07/2025","26/07/2025","00:00:08"
"30","QUATTRO DEL MAR MEP CAD PROJECT","submission","26/07/2025","26/07/2025","00:00:08"
"31","QUATTRO DEL MAR MEP CAD PROJECT","QC/Coordination ","12/07/2025","26/07/2025","328:37:46"
"32","QUATTRO DEL MAR MEP CAD PROJECT","QC/Coordination ","12/07/2025","26/07/2025","328:37:46"
"33","QUATTRO DEL MAR MEP CAD PROJECT","QC/Coordination ","12/07/2025","26/07/2025","328:37:46"
"34","QUATTRO DEL MAR MEP CAD PROJECT","Ground floor MEP coordination drawing","12/07/2025","12/07/2025","hh:mm:ss"
"35","QUATTRO DEL MAR MEP CAD PROJECT","Ground floor MEP coordination drawing","12/07/2025","12/07/2025","hh:mm:ss"
"36","Guggenheim Abu Dhabi","Sheet work","29/09/2025","29/09/2025","00:00:09"
"37","Guggenheim Abu Dhabi","Sheet work","29/09/2025","29/09/2025","00:00:09"
"38","Guggenheim Abu Dhabi","Sheet work","29/09/2025","29/09/2025","00:00:09"
"39","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
